2026-04-01 19:02:13 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=0;agrupar=none
2026-04-01 19:02:31 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=81;agrupar=none
2026-04-01 19:09:51 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 19:09:55 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=0;agrupar=none
2026-04-01 19:10:17 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=clientes_inativos;quantidade=263
2026-04-01 19:10:54 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 19:10:57 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=0;agrupar=none
2026-04-01 19:11:03 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=81;agrupar=none
2026-04-01 19:13:17 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=1;agrupar=none
2026-04-01 19:13:20 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=1;agrupar=none
2026-04-01 19:16:46 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 19:16:49 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=0;agrupar=none
2026-04-01 20:28:53 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 20:28:56 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=0;agrupar=none
2026-04-01 20:32:58 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 20:33:04 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=0;agrupar=none
2026-04-01 20:37:59 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 20:38:05 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=0;agrupar=none
2026-04-01 20:38:13 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=10;agrupar=none
2026-04-01 20:38:47 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=85;agrupar=none
2026-04-01 20:39:22 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=6;agrupar=motive
2026-04-01 20:39:50 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=30;agrupar=customer
2026-04-01 20:45:51 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 20:45:55 | usuario=eduardo | acao=carregar_lista | detalhe=tipo=faturas_receber;quantidade=0;agrupar=none
